,CTYNAME,POPESTIMATE2017
1231,St. Mary's County,112667
1232,Somerset County,25918
1233,Talbot County,37103
1234,Washington County,150578
1235,Wicomico County,102923
1236,Worcester County,51690
1237,Baltimore city,611648
1239,Barnstable County,213444
1240,Berkshire County,126313
1241,Bristol County,561483
1242,Dukes County,17325
1243,Essex County,785205
1244,Franklin County,70702
1245,Hampden County,469818
1246,Hampshire County,161834
1247,Middlesex County,1602947
1248,Nantucket County,11229
1249,Norfolk County,700322
1250,Plymouth County,515142
1251,Suffolk County,797939
1252,Worcester County,826116
1254,Alcona County,10351
1255,Alger County,9121
1256,Allegan County,116447
1257,Alpena County,28462
1258,Antrim County,23292
1259,Arenac County,15045
1260,Baraga County,8441
1261,Barry County,60586
1262,Bay County,104239
1263,Benzie County,17573
1264,Berrien County,154259
1265,Branch County,43410
1266,Calhoun County,134128
1267,Cass County,51381
1268,Charlevoix County,26139
1269,Cheboygan County,25369
1270,Chippewa County,37711
1271,Clare County,30653
1272,Clinton County,78443
1273,Crawford County,13907
1274,Delta County,35965
1275,Dickinson County,25415
1276,Eaton County,109027
1277,Emmet County,33193
1278,Genesee County,407385
1279,Gladwin County,25234
1280,Gogebic County,15342
1281,Grand Traverse County,91807
1282,Gratiot County,41018
1283,Hillsdale County,45879
1284,Houghton County,36305
1285,Huron County,31280
1286,Ingham County,290186
1287,Ionia County,64291
1288,Iosco County,25162
1289,Iron County,11124
1290,Isabella County,71063
1291,Jackson County,158640
1292,Kalamazoo County,262985
1293,Kalkaska County,17634
1294,Kent County,648594
1295,Keweenaw County,2105
1296,Lake County,12013
1297,Lapeer County,88174
1298,Leelanau County,21657
1299,Lenawee County,98623
1300,Livingston County,189651
1301,Luce County,6358
1302,Mackinac County,10712
1303,Macomb County,871375
1304,Manistee County,24427
1305,Marquette County,66502
1306,Mason County,29073
1307,Mecosta County,43391
1308,Menominee County,23046
1309,Midland County,83411
1310,Missaukee County,14998
1311,Monroe County,149649
1312,Montcalm County,63550
1313,Montmorency County,9250
1314,Muskegon County,173693
1315,Newaygo County,48242
1316,Oakland County,1250836
1317,Oceana County,26442
1318,Ogemaw County,20981
1319,Ontonagon County,5881
1320,Osceola County,23260
1321,Oscoda County,8287
1322,Otsego County,24538
1323,Ottawa County,286383
1324,Presque Isle County,12791
1325,Roscommon County,23895
1326,Saginaw County,191934
1327,St. Clair County,159350
1328,St. Joseph County,60947
1329,Sanilac County,41269
1330,Schoolcraft County,8049
1331,Shiawassee County,68446
1332,Tuscola County,52764
1333,Van Buren County,75353
1334,Washtenaw County,367627
1335,Wayne County,1753616
1336,Wexford County,33276
1338,Aitkin County,15829
1339,Anoka County,351373
1340,Becker County,34098
1341,Beltrami County,46513
1342,Benton County,39937
1343,Big Stone County,5026
1344,Blue Earth County,66973
1345,Brown County,25194
1346,Carlton County,35498
1347,Carver County,102119
1348,Cass County,29355
1349,Chippewa County,11980
1350,Chisago County,55308
1351,Clay County,63569
1352,Clearwater County,8878
1353,Cook County,5398
1354,Cottonwood County,11295
1355,Crow Wing County,64424
1356,Dakota County,421751
1357,Dodge County,20762
1358,Douglas County,37575
1359,Faribault County,13784
1360,Fillmore County,20980
1361,Freeborn County,30535
1362,Goodhue County,46304
1363,Grant County,5941
1364,Hennepin County,1252024
1365,Houston County,18660
1366,Hubbard County,21018
1367,Isanti County,39582
1368,Itasca County,45137
1369,Jackson County,9946
1370,Kanabec County,16024
1371,Kandiyohi County,42743
1372,Kittson County,4250
1373,Koochiching County,12528
1374,Lac qui Parle County,6685
1375,Lake County,10524
1376,Lake of the Woods County,3744
1377,Le Sueur County,28111
1378,Lincoln County,5678
1379,Lyon County,25831
1380,McLeod County,35884
1381,Mahnomen County,5596
1382,Marshall County,9356
1383,Martin County,19850
1384,Meeker County,23131
1385,Mille Lacs County,25872
1386,Morrison County,33064
1387,Mower County,39566
1388,Murray County,8346
1389,Nicollet County,33966
1390,Nobles County,21944
1391,Norman County,6597
1392,Olmsted County,154930
1393,Otter Tail County,58345
1394,Pennington County,14238
1395,Pine County,29203
1396,Pipestone County,9087
1397,Polk County,31619
1398,Pope County,10970
1399,Ramsey County,547974
1400,Red Lake County,4030
1401,Redwood County,15272
1402,Renville County,14645
1403,Rice County,65968
1404,Rock County,9490
1405,Roseau County,15327
1406,St. Louis County,200000
1407,Scott County,145827
1408,Sherburne County,94570
1409,Sibley County,14869
1410,Stearns County,157822
1411,Steele County,36887
1412,Stevens County,9634
1413,Swift County,9407
1414,Todd County,24515
1415,Traverse County,3319
1416,Wabasha County,21608
1417,Wadena County,13669
1418,Waseca County,18787
1419,Washington County,256348
1420,Watonwan County,10840
1421,Wilkin County,6324
1422,Winona County,50873
1423,Wright County,134286
1424,Yellow Medicine County,9867
1426,Adams County,31003
1427,Alcorn County,37210
1428,Amite County,12447
1429,Attala County,18477
1430,Benton County,8312
1431,Bolivar County,31945
1432,Calhoun County,14492
1433,Carroll County,10139
1434,Chickasaw County,17146
1435,Choctaw County,8278
1436,Claiborne County,8950
1437,Clarke County,15828
1438,Clay County,19640
1439,Coahoma County,23154
1440,Copiah County,28516
1441,Covington County,19079
1442,DeSoto County,178751
1443,Forrest County,75471
1444,Franklin County,7765
1445,George County,24094
1446,Greene County,13345
1447,Grenada County,21087
1448,Hancock County,47053
1449,Harrison County,205027
1450,Hinds County,239497
1451,Holmes County,17739
1452,Humphreys County,8342
1453,Issaquena County,1339
1454,Itawamba County,23508
1455,Jackson County,142152
1456,Jasper County,16582
1457,Jefferson County,7262
1458,Jefferson Davis County,11314
1459,Jones County,67930
1460,Kemper County,9883
1461,Lafayette County,54374
1462,Lamar County,61374
1463,Lauderdale County,76155
1464,Lawrence County,12643
1465,Leake County,22715
1466,Lee County,84933
1467,Leflore County,29223
1468,Lincoln County,34347
1469,Lowndes County,59186
1470,Madison County,104618
1471,Marion County,25069
1472,Marshall County,35619
1473,Monroe County,35872
1474,Montgomery County,10173
1475,Neshoba County,29369
1476,Newton County,21185
1477,Noxubee County,10742
1478,Oktibbeha County,49799
1479,Panola County,33994
1480,Pearl River County,55270
1481,Perry County,12032
1482,Pike County,39468
1483,Pontotoc County,31640
1484,Prentiss County,25261
1485,Quitman County,7269
1486,Rankin County,152080
1487,Scott County,28420
1488,Sharkey County,4435
1489,Simpson County,26947
1490,Smith County,16078
1491,Stone County,18112
1492,Sunflower County,25981
1493,Tallahatchie County,14125
1494,Tate County,28441
1495,Tippah County,21969
1496,Tishomingo County,19542
1497,Tunica County,10024
1498,Union County,28556
1499,Walthall County,14499
1500,Warren County,46768
1501,Washington County,46221
1502,Wayne County,20446
1503,Webster County,9765
1504,Wilkinson County,8804
1505,Winston County,18246
1506,Yalobusha County,12497
1507,Yazoo County,27057
1509,Adair County,25377
1510,Andrew County,17555
1511,Atchison County,5275
1512,Audrain County,25641
1513,Barry County,35668
1514,Barton County,11850
1515,Bates County,16334
1516,Benton County,19074
1517,Bollinger County,12306
1518,Boone County,178271
1519,Buchanan County,89065
1520,Butler County,42666
1521,Caldwell County,9100
1522,Callaway County,45032
1523,Camden County,45632
1524,Cape Girardeau County,78161
1525,Carroll County,8796
1526,Carter County,6169
1527,Cass County,103724
1528,Cedar County,14073
1529,Chariton County,7480
1530,Christian County,85432
1531,Clark County,6723
1532,Clay County,242874
1533,Clinton County,20554
1534,Cole County,76708
1535,Cooper County,17644
1536,Crawford County,24102
1537,Dade County,7588
1538,Dallas County,16673
1539,Daviess County,8361
1540,DeKalb County,12588
1541,Dent County,15480
1542,Douglas County,13300
1543,Dunklin County,30119
1544,Franklin County,103330
1545,Gasconade County,14726
1546,Gentry County,6665
1547,Greene County,289805
1548,Grundy County,9949
1549,Harrison County,8524
1550,Henry County,21718
1551,Hickory County,9475
1552,Holt County,4413
1553,Howard County,10139
1554,Howell County,40103
1555,Iron County,10226
1556,Jackson County,698895
1557,Jasper County,120217
1558,Jefferson County,223810
1559,Johnson County,53897
1560,Knox County,3977
1561,Laclede County,35443
1562,Lafayette County,32641
1563,Lawrence County,38434
1564,Lewis County,9967
1565,Lincoln County,56183
1566,Linn County,12194
1567,Livingston County,15173
1568,McDonald County,22828
1569,Macon County,15251
1570,Madison County,12243
1571,Maries County,8867
1572,Marion County,28634
1573,Mercer County,3678
1574,Miller County,25228
1575,Mississippi County,13586
1576,Moniteau County,16063
1577,Monroe County,8612
1578,Montgomery County,11438
1579,Morgan County,20145
1580,New Madrid County,17582
1581,Newton County,58290
1582,Nodaway County,22472
1583,Oregon County,10558
1584,Osage County,13662
1585,Ozark County,9186
1586,Pemiscot County,16826
1587,Perry County,19225
1588,Pettis County,42558
1589,Phelps County,44744
1590,Pike County,18567
1591,Platte County,101187
1592,Polk County,31794
1593,Pulaski County,52059
1594,Putnam County,4811
1595,Ralls County,10224
1596,Randolph County,24945
1597,Ray County,22855
1598,Reynolds County,6275
1599,Ripley County,13564
1600,St. Charles County,395504
1601,St. Clair County,9362
1602,Ste. Genevieve County,17843
1603,St. Francois County,66705
1604,St. Louis County,996726
1605,Saline County,22660
1606,Schuyler County,4508
1607,Scotland County,4963
1608,Scott County,38541
1609,Shannon County,8249
1610,Shelby County,6021
1611,Stoddard County,29369
1612,Stone County,31699
1613,Sullivan County,6229
1614,Taney County,55355
1615,Texas County,25735
1616,Vernon County,20437
1617,Warren County,34373
1618,Washington County,25022
1619,Wayne County,13296
1620,Webster County,38665
1621,Worth County,2057
1622,Wright County,18331
1623,St. Louis city,308626
1625,Beaverhead County,9434
1626,Big Horn County,13360
1627,Blaine County,6708
1628,Broadwater County,5936
1629,Carbon County,10696
1630,Carter County,1222
1631,Cascade County,81654
1632,Chouteau County,5765
1633,Custer County,11721
1634,Daniels County,1737
1635,Dawson County,8950
1636,Deer Lodge County,9106
1637,Fallon County,3009
1638,Fergus County,11291
1639,Flathead County,100000
1640,Gallatin County,107810
1641,Garfield County,1293
1642,Glacier County,13640
1643,Golden Valley County,822
1644,Granite County,3358
1645,Hill County,16463
1646,Jefferson County,11891
1647,Judith Basin County,1961
1648,Lake County,30273
1649,Lewis and Clark County,67773
1650,Liberty County,2427
1651,Lincoln County,19440
1652,McCone County,1718
1653,Madison County,8175
1654,Meagher County,1851
1655,Mineral County,4255
1656,Missoula County,117441
1657,Musselshell County,4639
1658,Park County,16353
1659,Petroleum County,523
1660,Phillips County,4119
1661,Pondera County,5960
1662,Powder River County,1752
1663,Powell County,6795
1664,Prairie County,1109
1665,Ravalli County,42563
1666,Richland County,11039
1667,Roosevelt County,11098
1668,Rosebud County,9248
1669,Sanders County,11711
1670,Sheridan County,3469
1671,Silver Bow County,34602
1672,Stillwater County,9419
1673,Sweet Grass County,3691
1674,Teton County,6085
1675,Toole County,4886
1676,Treasure County,679
1677,Valley County,7433
1678,Wheatland County,2140
1679,Wibaux County,1020
1680,Yellowstone County,158980
1682,Adams County,31678
1683,Antelope County,6362
1684,Arthur County,457
1685,Banner County,742
1686,Blaine County,482
1687,Boone County,5352
1688,Box Butte County,10886
1689,Boyd County,1977
1690,Brown County,3014
1691,Buffalo County,49732
1692,Burt County,6535
1693,Butler County,8053
1694,Cass County,25889
1695,Cedar County,8530
1696,Chase County,3971
1697,Cherry County,5818
1698,Cheyenne County,9676
1699,Clay County,6205
1700,Colfax County,10585
1701,Cuming County,9042
1702,Custer County,10897
1703,Dakota County,20186
1704,Dawes County,8890
1705,Dawson County,23709
1706,Deuel County,1883
1707,Dixon County,5754
1708,Dodge County,36707
1709,Douglas County,561620
1710,Dundy County,1801
1711,Fillmore County,5582
1712,Franklin County,2990
1713,Frontier County,2631
1714,Furnas County,4780
1715,Gage County,21601
1716,Garden County,1906
1717,Garfield County,2016
1718,Gosper County,2028
1719,Grant County,649
1720,Greeley County,2374
1721,Hall County,61519
1722,Hamilton County,9207
1723,Harlan County,3443
1724,Hayes County,893
1725,Hitchcock County,2834
1726,Holt County,10202
1727,Hooker County,674
1728,Howard County,6437
1729,Jefferson County,7178
1730,Johnson County,5185
1731,Kearney County,6530
1732,Keith County,8072
1733,Keya Paha County,793
1734,Kimball County,3619
1735,Knox County,8472
1736,Lancaster County,314358
1737,Lincoln County,35280
1738,Logan County,768
1739,Loup County,609
1740,McPherson County,499
1741,Madison County,35144
1742,Merrick County,7882
1743,Morrill County,4836
1744,Nance County,3607
1745,Nemaha County,6949
1746,Nuckolls County,4275
1747,Otoe County,16027
1748,Pawnee County,2641
1749,Perkins County,2903
1750,Phelps County,9060
1751,Pierce County,7138
1752,Platte County,33175
1753,Polk County,5328
1754,Red Willow County,10728
1755,Richardson County,7969
1756,Rock County,1436
1757,Saline County,14441
1758,Sarpy County,181439
1759,Saunders County,21057
1760,Scotts Bluff County,36363
1761,Seward County,17161
1762,Sheridan County,5289
1763,Sherman County,3086
1764,Sioux County,1203
1765,Stanton County,5988
1766,Thayer County,5045
1767,Thomas County,725
1768,Thurston County,7223
1769,Valley County,4209
1770,Washington County,20721
1771,Wayne County,9318
1772,Webster County,3524
1773,Wheeler County,818
1774,York County,13806
1776,Churchill County,24230
1777,Clark County,2204079
1778,Douglas County,48309
1779,Elko County,52649
1780,Esmeralda County,850
1781,Eureka County,1961
1782,Humboldt County,16826
1783,Lander County,5693
1784,Lincoln County,5223
1785,Lyon County,54122
1786,Mineral County,4457
1787,Nye County,44202
1788,Pershing County,6508
1789,Storey County,4006
1790,Washoe County,460587
1791,White Pine County,9592
1792,Carson City,54745
1794,Belknap County,60785
1795,Carroll County,48064
1796,Cheshire County,75960
1797,Coos County,31634
1798,Grafton County,89386
1799,Hillsborough County,409697
1800,Merrimack County,149216
1801,Rockingham County,306363
1802,Strafford County,128613
1803,Sullivan County,43077
1805,Atlantic County,269918
1806,Bergen County,948406
1807,Burlington County,448596
1808,Camden County,510719
1809,Cape May County,93553
1810,Cumberland County,152538
1811,Essex County,808285
1812,Gloucester County,292206
1813,Hudson County,691643
1814,Hunterdon County,125059
1815,Mercer County,374733
1816,Middlesex County,842798
1817,Monmouth County,626351
1818,Morris County,499693
1819,Ocean County,597943
1820,Passaic County,512607
1821,Salem County,62792
1822,Somerset County,335432
1823,Sussex County,141682
1824,Union County,563892
1825,Warren County,106798
1827,Bernalillo County,676773
1828,Catron County,3587
1829,Chaves County,64866
1830,Cibola County,26853
1831,Colfax County,12174
1832,Curry County,49812
1833,De Baca County,1829
1834,Doña Ana County,215579
1835,Eddy County,56997
1836,Grant County,27687
1837,Guadalupe County,4429
1838,Harding County,692
1839,Hidalgo County,4305
1840,Lea County,68759
1841,Lincoln County,19395
1842,Los Alamos County,18738
1843,Luna County,24078
1844,McKinley County,72564
1845,Mora County,4551
1846,Otero County,65817
1847,Quay County,8306
1848,Rio Arriba County,39159
1849,Roosevelt County,18847
1850,Sandoval County,142507
1851,San Juan County,126926
1852,San Miguel County,27748
1853,Santa Fe County,148750
1854,Sierra County,11116
1855,Socorro County,16798
1856,Taos County,32795
1857,Torrance County,15506
1858,Union County,4187
1859,Valencia County,75940
1861,Albany County,309612
1862,Allegany County,46894
1863,Bronx County,1471160
1864,Broome County,193639
1865,Cattaraugus County,77348
1866,Cayuga County,77603
1867,Chautauqua County,129046
1868,Chemung County,85557
1869,Chenango County,47863
1870,Clinton County,80980
1871,Columbia County,60604
1872,Cortland County,47786
1873,Delaware County,45001
1874,Dutchess County,295568
1875,Erie County,925528
1876,Essex County,37956
1877,Franklin County,51116
1878,Fulton County,53877
1879,Genesee County,57956
1880,Greene County,47470
1881,Hamilton County,4485
1882,Herkimer County,62240
1883,Jefferson County,114187
1884,Kings County,2648771
1885,Lewis County,26551
1886,Livingston County,63799
1887,Madison County,70965
1888,Monroe County,747642
1889,Montgomery County,49258
1890,Nassau County,1369514
1891,New York County,1664727
1892,Niagara County,211328
1893,Oneida County,231332
1894,Onondaga County,465398
1895,Ontario County,109899
1896,Orange County,382226
1897,Orleans County,40983
1898,Oswego County,118478
1899,Otsego County,60094
1900,Putnam County,99323
1901,Queens County,2358582
1902,Rensselaer County,159722
1903,Richmond County,479458
1904,Rockland County,328868
1905,St. Lawrence County,109623
1906,Saratoga County,229869
1907,Schenectady County,155565
1908,Schoharie County,31420
1909,Schuyler County,18000
1910,Seneca County,34498
1911,Steuben County,96281
1912,Suffolk County,1492953
1913,Sullivan County,75485
1914,Tioga County,48578
1915,Tompkins County,104802
1916,Ulster County,179417
1917,Warren County,64532
1918,Washington County,61620
1919,Wayne County,90670
1920,Westchester County,980244
1921,Wyoming County,40493
1922,Yates County,24955
1924,Alamance County,162391
1925,Alexander County,37286
1926,Alleghany County,11031
1927,Anson County,24991
1928,Ashe County,26957
1929,Avery County,17536
1930,Beaufort County,47088
1931,Bertie County,19224
1932,Bladen County,33478
1933,Brunswick County,130897
1934,Buncombe County,257607
1935,Burke County,89293
1936,Cabarrus County,206872
1937,Caldwell County,81981
1938,Camden County,10581
1939,Carteret County,68881
1940,Caswell County,22646
1941,Catawba County,157974
1942,Chatham County,71472
1943,Cherokee County,28087
1944,Chowan County,14105
1945,Clay County,11074
1946,Cleveland County,97334
1947,Columbus County,55936
1948,Craven County,102578
1949,Cumberland County,332546
1950,Currituck County,26331
1951,Dare County,36099
1952,Davidson County,165466
1953,Davie County,42456
1954,Duplin County,59039
1955,Durham County,311640
1956,Edgecombe County,52747
1957,Forsyth County,376320
1958,Franklin County,66168
1959,Gaston County,220182
1960,Gates County,11544
1961,Graham County,8541
1962,Granville County,59557
1963,Greene County,21015
1964,Guilford County,526953
1965,Halifax County,51310
1966,Harnett County,132754
1967,Haywood County,61084
1968,Henderson County,115708
1969,Hertford County,23906
1970,Hoke County,54116
1971,Hyde County,5363
1972,Iredell County,175711
1973,Jackson County,42973
1974,Johnston County,196708
1975,Jones County,9597
1976,Lee County,60430
1977,Lenoir County,56883
1978,Lincoln County,82403
1979,McDowell County,45159
1980,Macon County,34732
1981,Madison County,21746
1982,Martin County,22789
1983,Mecklenburg County,1076837
1984,Mitchell County,15072
1985,Montgomery County,27435
1986,Moore County,97264
1987,Nash County,93991
1988,New Hanover County,227198
1989,Northampton County,19862
1990,Onslow County,193893
1991,Orange County,144946
1992,Pamlico County,12689
1993,Pasquotank County,39743
1994,Pender County,60958
1995,Perquimans County,13474
1996,Person County,39370
1997,Pitt County,179042
1998,Polk County,20558
1999,Randolph County,143282
2000,Richmond County,44798
2001,Robeson County,132606
2002,Rockingham County,90949
2003,Rowan County,140644
2004,Rutherford County,66551
2005,Sampson County,63430
2006,Scotland County,35093
2007,Stanly County,61482
2008,Stokes County,45717
2009,Surry County,72224
2010,Swain County,14294
2011,Transylvania County,33956
2012,Tyrrell County,4052
2013,Union County,231366
2014,Vance County,44211
2015,Wake County,1072203
2016,Warren County,19883
2017,Washington County,12012
2018,Watauga County,55121
2019,Wayne County,124172
2020,Wilkes County,68576
2021,Wilson County,81671
2022,Yadkin County,37774
2023,Yancey County,17744
2025,Adams County,2318
2026,Barnes County,10734
2027,Benson County,6936
2028,Billings County,940
2029,Bottineau County,6530
2030,Bowman County,3166
2031,Burke County,2131
2032,Burleigh County,95030
2033,Cass County,177787
2034,Cavalier County,3762
2035,Dickey County,4861
2036,Divide County,2288
2037,Dunn County,4289
2038,Eddy County,2316
2039,Emmons County,3301
2040,Foster County,3257
2041,Golden Valley County,1789
2042,Grand Forks County,70795
2043,Grant County,2376
2044,Griggs County,2258
2045,Hettinger County,2483
2046,Kidder County,2482
2047,LaMoure County,4087
2048,Logan County,1918
2049,McHenry County,5900
2050,McIntosh County,2606
2051,McKenzie County,12724
2052,McLean County,9685
2053,Mercer County,8465
2054,Morton County,30796
2055,Mountrail County,10265
2056,Nelson County,2937
2057,Oliver County,1940
2058,Pembina County,6972
2059,Pierce County,4099
2060,Ramsey County,11519
2061,Ransom County,5297
2062,Renville County,2463
2063,Richland County,16351
2064,Rolette County,14531
2065,Sargent County,3858
2066,Sheridan County,1353
2067,Sioux County,4376
2068,Slope County,771
2069,Stark County,30209
2070,Steele County,1917
2071,Stutsman County,21087
2072,Towner County,2253
2073,Traill County,8013
2074,Walsh County,10855
2075,Ward County,68946
2076,Wells County,4022
2077,Williams County,33349
2079,Adams County,27726
2080,Allen County,103198
2081,Ashland County,53628
2082,Ashtabula County,97807
2083,Athens County,66597
2084,Auglaize County,45778
2085,Belmont County,68029
2086,Brown County,43576
2087,Butler County,380604
2088,Carroll County,27385
2089,Champaign County,38840
2090,Clark County,134557
2091,Clermont County,204214
2092,Clinton County,42009
2093,Columbiana County,103077
2094,Coshocton County,36544
2095,Crawford County,41746
2096,Cuyahoga County,1248514
2097,Darke County,51536
2098,Defiance County,38156
2099,Delaware County,200464
2100,Erie County,74817
2101,Fairfield County,154733
2102,Fayette County,28752
2103,Franklin County,1291981
2104,Fulton County,42289
2105,Gallia County,29973
2106,Geauga County,93918
2107,Greene County,166752
2108,Guernsey County,39093
2109,Hamilton County,813822
2110,Hancock County,75754
2111,Hardin County,31364
2112,Harrison County,15216
2113,Henry County,27185
2114,Highland County,42971
2115,Hocking County,28474
2116,Holmes County,43957
2117,Huron County,58494
2118,Jackson County,32449
2119,Jefferson County,66359
2120,Knox County,61261
2121,Lake County,230117
2122,Lawrence County,60249
2123,Licking County,173448
2124,Logan County,45325
2125,Lorain County,307924
2126,Lucas County,430887
2127,Madison County,44036
2128,Mahoning County,229796
2129,Marion County,64967
2130,Medina County,178371
2131,Meigs County,23080
2132,Mercer County,40873
2133,Miami County,105122
2134,Monroe County,13946
2135,Montgomery County,531542
2136,Morgan County,14709
2137,Morrow County,34994
2138,Muskingum County,86149
2139,Noble County,14406
2140,Ottawa County,40657
2141,Paulding County,18845
2142,Perry County,36024
2143,Pickaway County,57830
2144,Pike County,28270
2145,Portage County,162277
2146,Preble County,41120
2147,Putnam County,33878
2148,Richland County,120589
2149,Ross County,77313
2150,Sandusky County,59195
2151,Scioto County,75929
2152,Seneca County,55243
2153,Shelby County,48759
2154,Stark County,372542
2155,Summit County,541228
2156,Trumbull County,200380
2157,Tuscarawas County,92297
2158,Union County,56741
2159,Van Wert County,28217
2160,Vinton County,13092
2161,Warren County,228882
2162,Washington County,60418
2163,Wayne County,116038
2164,Williams County,36784
2165,Wood County,130492
2166,Wyandot County,22029
2168,Adair County,21909
2169,Alfalfa County,5907
2170,Atoka County,13887
2171,Beaver County,5315
2172,Beckham County,21793
2173,Blaine County,9498
2174,Bryan County,46319
2175,Caddo County,29173
2176,Canadian County,139926
2177,Carter County,48190
2178,Cherokee County,48888
2179,Choctaw County,14863
2180,Cimarron County,2154
2181,Cleveland County,279641
2182,Coal County,5642
2183,Comanche County,121526
2184,Cotton County,5823
2185,Craig County,14327
2186,Creek County,71704
2187,Custer County,28800
2188,Delaware County,42602
2189,Dewey County,4878
2190,Ellis County,3966
2191,Garfield County,61581
2192,Garvin County,27909
2193,Grady County,54943
2194,Grant County,4395
2195,Greer County,5843
2196,Harmon County,2689
2197,Harper County,3808
2198,Haskell County,12763
2199,Hughes County,13302
2200,Jackson County,25125
2201,Jefferson County,6183
2202,Johnston County,11060
2203,Kay County,44544
2204,Kingfisher County,15669
2205,Kiowa County,8893
2206,Latimer County,10411
2207,Le Flore County,49731
2208,Lincoln County,35142
2209,Logan County,46784
2210,Love County,10034
2211,McClain County,39343
2212,McCurtain County,32808
2213,McIntosh County,19742
2214,Major County,7693
2215,Marshall County,16434
2216,Mayes County,40921
2217,Murray County,13853
2218,Muskogee County,69086
2219,Noble County,11277
2220,Nowata County,10306
2221,Okfuskee County,12140
2222,Oklahoma County,787958
2223,Okmulgee County,38930
2224,Osage County,47233
2225,Ottawa County,31312
2226,Pawnee County,16472
2227,Payne County,81575
2228,Pittsburg County,44184
2229,Pontotoc County,38224
2230,Pottawatomie County,72226
2231,Pushmataha County,11173
2232,Roger Mills County,3716
2233,Rogers County,91444
2234,Seminole County,24878
2235,Sequoyah County,41252
2236,Stephens County,43332
2237,Texas County,20900
2238,Tillman County,7433
2239,Tulsa County,646266
2240,Wagoner County,78657
2241,Washington County,51932
2242,Washita County,11134
2243,Woods County,9031
2244,Woodward County,20459
2246,Baker County,16054
2247,Benton County,90951
2248,Clackamas County,412672
2249,Clatsop County,39182
2250,Columbia County,51782
2251,Coos County,63888
2252,Crook County,23123
2253,Curry County,22669
2254,Deschutes County,186875
2255,Douglas County,109405
2256,Gilliam County,1855
2257,Grant County,7190
2258,Harney County,7289
2259,Hood River County,23377
2260,Jackson County,217479
2261,Jefferson County,23758
2262,Josephine County,86352
2263,Klamath County,66935
2264,Lake County,7863
2265,Lane County,374748
2266,Lincoln County,48920
2267,Linn County,125047
2268,Malheur County,30480
2269,Marion County,341286
2270,Morrow County,11166
2271,Multnomah County,807555
2272,Polk County,83696
2273,Sherman County,1758
2274,Tillamook County,26690
2275,Umatilla County,76985
2276,Union County,26222
2277,Wallowa County,7051
2278,Wasco County,26437
2279,Washington County,588957
2280,Wheeler County,1357
2281,Yamhill County,105722
2283,Adams County,102336
2284,Allegheny County,1223048
2285,Armstrong County,65642
2286,Beaver County,166140
2287,Bedford County,48480
2288,Berks County,417854
2289,Blair County,123457
2290,Bradford County,60853
2291,Bucks County,628341
2292,Butler County,187108
2293,Cambria County,133054
2294,Cameron County,4592
2295,Carbon County,63853
2296,Centre County,162660
2297,Chester County,519293
2298,Clarion County,38458
2299,Clearfield County,79685
2300,Clinton County,38998
2301,Columbia County,65932
2302,Crawford County,86159
2303,Cumberland County,250066
2304,Dauphin County,275710
2305,Delaware County,564696
2306,Elk County,30197
2307,Erie County,274541
2308,Fayette County,131504
2309,Forest County,7297
2310,Franklin County,154234
2311,Fulton County,14590
2312,Greene County,36770
2313,Huntingdon County,45491
2314,Indiana County,84953
2315,Jefferson County,43804
2316,Juniata County,24514
2317,Lackawanna County,210761
2318,Lancaster County,542903
2319,Lawrence County,87069
2320,Lebanon County,139754
2321,Lehigh County,366494
2322,Luzerne County,317343
2323,Lycoming County,113841
2324,McKean County,41330
2325,Mercer County,111750
2326,Mifflin County,46388
2327,Monroe County,168046
2328,Montgomery County,826075
2329,Montour County,18272
2330,Northampton County,303405
2331,Northumberland County,92029
2332,Perry County,46127
2333,Philadelphia County,1580863
2334,Pike County,55691
2335,Potter County,16802
2336,Schuylkill County,142569
2337,Snyder County,40801
2338,Somerset County,74501
2339,Sullivan County,6089
2340,Susquehanna County,40985
2341,Tioga County,40793
2342,Union County,44595
2343,Venango County,51762
2344,Warren County,39659
2345,Washington County,207298
2346,Wayne County,51205
2347,Westmoreland County,352627
2348,Wyoming County,27322
2349,York County,446078
2351,Bristol County,48912
2352,Kent County,163760
2353,Newport County,83460
2354,Providence County,637357
2355,Washington County,126150
2357,Abbeville County,24722
2358,Aiken County,168179
2359,Allendale County,9002
2360,Anderson County,198759
2361,Bamberg County,14381
2362,Barnwell County,21345
2363,Beaufort County,186844
2364,Berkeley County,217937
2365,Calhoun County,14704
2366,Charleston County,401438
2367,Cherokee County,57105
2368,Chester County,32301
2369,Chesterfield County,45948
2370,Clarendon County,34057
2371,Colleton County,37611
2372,Darlington County,67265
2373,Dillon County,30666
2374,Dorchester County,156456
2375,Edgefield County,26693
2376,Fairfield County,22607
2377,Florence County,138566
2378,Georgetown County,61607
2379,Greenville County,506837
2380,Greenwood County,70355
2381,Hampton County,19602
2382,Horry County,333268
2383,Jasper County,28458
2384,Kershaw County,65036
2385,Lancaster County,92550
2386,Laurens County,66848
2387,Lee County,17350
2388,Lexington County,290642
2389,McCormick County,9545
2390,Marion County,31293
2391,Marlboro County,26825
2392,Newberry County,38488
2393,Oconee County,77270
2394,Orangeburg County,87476
2395,Pickens County,123479
2396,Richland County,411592
2397,Saluda County,20452
2398,Spartanburg County,306854
2399,Sumter County,106847
2400,Union County,27537
2401,Williamsburg County,31133
2402,York County,266439
2404,Aurora County,2738
2405,Beadle County,18157
